id,name,lat,lng,name_en,name_la,order,order_en,family,family_en,images,danger,stamps,habitat,habitat_en,diet,diet_en,breeding,breeding_en,dimensions,description,description_en,threats,threats_en,extra,extra_en,unit,alerts,who_is_who,did_you_know,did_you_know_en,keywords,occurrence,occurrence_en
63,Varan komodský,50.1175669,14.4101933,Komodo dragon,Varanus komodoensis,šupinatí,Squamata,varanovití,Varanidae,,VU,,"suché lesy, volná krajina","dry forests, open countryside",živá kořist i zdechliny,"live prey, carcasses",10–30 vajec;inkubace 197–230 dní,10–30 eggs;incubation 197–230 days,"[{""title"":""hmotnost"",""value"":""20–80 kg"",""title_en"":""weight""},{""title"":""celková délka"",""value"":""2–3,1 m"",""title_en"":""total length""}]","Je největším (lépe řečeno nejtěžším) ještěrem na světě. Pozoruhodná síla, houževnatost a vytrvalost mu umožňují ulovit i tak velké zvíře, jakým je buvol. Aktivní je ve dne, noc tráví v podzemní noře.","It is the largest (or rather heaviest) lizard in the world. Its remarkable strength, tenacity and endurance allow it to catch even large animals such as buffalo. Active during the day, it
spends the night in an underground burrow.","Celou populaci varanů komodských by mohl v jejich malém areálu zničit jediný výbuch sopky. Ohrožuje je ale i člověk – ničením prostředí a nelegálním zabíjením jak samotných ještěrů, tak jejich kořisti. Na ochranu varanů komodských, kterých v přírodě zbývá už jen kolem 4 000 jedinců, byl v Indonésii v roce 1980 založen národní park Komodo.","The entire population of Komodo dragons live in a small area that could be wiped out by one volcanic eruption. They are also threatened by men, who destruct their environment and kill both the lizards themselves and their prey. In 1980 the Komodo National Park was founded in Indonesia to
protect the Komodo dragons, of which there
are just 4,000 individuals left in the wild.","Zoo Praha se řadí ke světové špičce v chovu varanů komodských: od roku 2007 se zde vylíhlo přes 60 mláďat, která rozšířila chovy v zoologických zahradách od USA až
po Austrálii.","Prague Zoo is one of the most successful zoos in the world
at breeding the Komodo dragon. Since 2007, more than 60 young have hatched here. They have expanded Komodo dragon populations in zoos from the United States to Australia.",4,,"[{""name"":"""",""birthdate"":"""",""parents"":"""",""marks"":"""",""marksEN"":"""",""image"":{""0"":{}}}]","Varani mají rozeklaný jazyk, jehož kmitáním získávají důležité údaje o okolí. Při každém vysunutí naberou jazykem částečky vzduchu. Po zasunutí do tlamy dolehnou špičky jazyka na dvě zvláštní jamky na patře. Zde ústí tzv. Jacobsonův orgán,
který slouží jako chemická laboratoř k rozlišení pachů. Díky
němu varan ucítí potravu i na několik kilometrů.","Komodo dragons have a forked tongue that they flick out to
obtain important information about their surroundings. Each
time they do so they take in air particles on the tongue. After
retracting it back into the mouth, the tips of the tongue fit
into two pits on the roof of the mouth. This is the Jacobson’s
organ, which serves as a chemical laboratory to distinguish
odours. Thanks to this the Komodo dragon can sense food
from several kilometres away.",,"Indonésie (ostrovy Komodo, Flores, Rinca, Gili Montang)","Indonesia (Komodo, Flores, Rinca, Gili Montang islands)"
48,Gueréza pláštíková,50.1206483,14.404035,Mantled Guereza,Colobus guereza,primáti,Primates,kočkodanovití,Cercopithecidae,,LC,"[{""type"":""d"",""description"":""""}]",tropické lesy a lesnaté savany,tropical forests and woodland savannas,"listy, nedozrálé ovoce, kůra, květy a semena","leaves, unripe fruit, bark, flowers and seeds",březost 160–175 dní;1 mládě,gestation 160–175 days;1 young,"[{""title"":""hmotnost"",""value"":""7,8-13,5 kg"",""title_en"":""weight""},{""title"":""délka těla"",""value"":""52-70 cm"",""title_en"":""body length""},{""title"":""délka ocasu"",""value"":""67-90 cm"",""title_en"":""tail length""}]","Všechny guerézy mají vícedílný žaludek, který jim umožňuje lépe trávit listy, naopak velmi zralé sladké ovoce je pro ně téměř nepoživatelné. Mláďata gueréz pláštíkových jsou po narození bílá, kontrastní kresbu získají až časem.","All colobus monkeys have a multichambered stomach that aids the digestion of foliage. In contrast, very ripe, sweet fruit is almost inedible for them. Mantled guereza babies are born completely white, gradually growing into the contrasting coloration of adults.",,,"Guerézy se rodí celé bílé. Černobílé zbarvení získávají až ve třech měsících věku. Podle jedné z hypotéz stimuluje bílá srst matku k intenzivnější péči o potomka, který díky tomu rychleji překoná období své největší zranitelnosti, kdy může být zabit cizím samcem.","Newborn mantled guerezas are white. They acquire the black-and-white colouring at about three months of age. One hypothesis is that the white coat stimulates the mother to care for her offspring more intensively and it can more quickly overcome the period of its greatest vulnerability, during which it may be killed by a foreign male.",,,"[{""name"":""d"",""birthdate"":"""",""parents"":"""",""marks"":"""",""marksEN"":"""",""image"":""""}]","Při pohybu v korunách stromů guerézy velice zdatně skáčou mezi větvemi. Jediným skokem dokážou překonat až devítimetrovou vzdálenost. Huňatý ocas jim slouží jako kormidlo, kterým usměrňují dráhu skoku. Po silných vodorovných větvích se pak pohybují chůzí, během nebo cvalem.","Colobus monkeys deftly jump between the branches when moving around in the canopies. They can cross a distance of up to nine metres in a single jump. The bushy tail serves as a rudder to guide the jump. They walk, run or gallop along thick, horizontal branches.",,Afrika,Africa
1,Lachtan jihoafrický,50.116,14.4106431,Cape fur seal,Arctocephalus pusillus pusillus,šelmy,Carnivora,lachtanovití,Otariidae,,LC,,"volný oceán, přilehlé pobřeží",open sea and nearby shores,ryby a jiní vodní živočichové,fishes and other aquatic vertebrates,březost 358 dní;1 mládě,gestation 358 days;1 young,"[{""title"":""hmotnost"",""value"":""samci 220–365 kg, samice 50–110 kg"",""title_en"":""weight""},{""title"":""délka těla"",""value"":""120–230 cm"",""title_en"":""body length""}]","Lachtani tráví většinu života ve vodě. Výborně plavou a potápějí se až do hloubky 200 m. Na souš vystupují jen v době rozmnožování, kdy samci obsazují teritoria. Všechny samice na svém území si samec zuřivě brání před soupeři.","Cape fur seals spend most of their life in water. They can swim very well and dive as deep as 200 m. They go on shore only during the breeding season, when the males establish their territories. Each male vigorously defends all females within his territory against his rivals.",,,"Lachtani, tuleni ani mroži nejsou nijak příbuzní dalším mořským savcům, jako jsou delfíni či velryby. Ve skutečnosti se jedná o šelmy a mnohem blíž mají k medvědům, lasičkám nebo psům. Ti všichni dohromady jsou řazeni mezi tzv. psotvárné šelmy (jako protiklad k šelmám kočkotvárným) a vzájemně toho mají společného mnohem více, než například psi s kočkami.

Na souši jsou lachtani mnohem pohyblivější než tuleni. Dovedou totiž zadní nohy podsunout pod tělo a na všech čtyřech se postavit, zatímco tuleni se po zemi pouze plazí a zadní vlečou za sebou. Od tuleňů se lachtani odlišují také viditelnými ušními boltci, které tuleňům chybí, nebo tvarem předních nohou. U lachtanů to jsou dlouhé kožovité ploutve, kdežto u tuleňů jsou kratší a mají patrné prsty s drápky.","Sea lions, seals and walruses are not related to other marine mammals such as dolphins or whales. In fact, they are carnivorans and they are much closer to bears, weasels or dogs. All of them are in the sub-order Caniformia (dog-like), in contrast to the Feliformia (cat-like), and they share much more with each other than dogs do with cats.

On land, sea lions are much more mobile than seals. They can pull their hind legs under the body and stand on all four while seals only scoot along the ground dragging their rear limbs behind them. Sea lions also differ from seals in that they have a flap over their ears and the front flippers have a different shape. Sea lions have long leathery flippers, while seals’ flippers are shorter and have distinct digits with claws.",19,,,,,,,
36,Kachnička karolínská,0,0,American wood duck,Aix sponsa,vrubozobí,Anseriformes,kachnovití,Anatidae,,LC,,vodní plochy v blízkosti lesů,fresh waters surrounded by woods,"části vodních rostlin, suché plody, bezobratlí","parts of aquatic plants, acorns, nuts, seeds, invertebrates",9–15 vajec;inkubace 30 dní,9–15 eggs;incubation 30 days,"[{""title"":""hmotnost"",""value"":""480-880 g"",""title_en"":""weight""},{""title"":""délka"",""value"":""43-51 cm"",""title_en"":""length""}]","Je blízká příbuzná kachničky mandarínské, žije však na opačné straně světa. Hnízdí ve stromových dutinách a také k nocování si volí místa ve větvích. Aby se zde udržela, má jako jedna z mála kachen silné drápy.","It is a close relative of the Mandarin duck, but lives on the opposite side of the world. It nests in tree cavities and also spends the night in branches. It is one of the few ducks to have strong claws, so it can cling on to the branches.",,,,,29,,,"Mláďata většiny druhů kachen si potravu obstarávají od samého počátku života samostatně; matka či rodičovský pár je pouze vodí. Už krátce po vylíhnutí proto ptáčata opouštějí hnízdo a míří k vodě. Tou dobou však ještě nedovedou létat, a pokud bylo hnízdo umístěné ve stromové dutině, musejí na zem jednoduše seskočit – často z ohromující výšky.","The young of most duck species find their food independently right from the outset of their lives; the mother or parental pair simply guides them. Shortly after hatching, the fledgling birds leave the nest and head for water. However, they cannot fly and if the nest is located in a tree cavity, they simply have to jump down to the ground – often from astonishing heights.",,Severní Amerika,North America
3,Lemur běločelý,50.1167375,14.4097183,White-fronted lemur,Eulemur albifrons,primáti,Primates,lemurovití denní,Lemuridae,,EN,,"vlhké lesy, horské deštné lesy","moist forest, mountain rainforest","plody, květy a další části rostlin","fruits, flowers, and other plant parts",březost 120 dní;1 mládě,gestation 120 days;1 young,"[{""title"":""hmotnost"",""value"":""2 kg"",""title_en"":""weight""},{""title"":""délka těla"",""value"":""39-42 cm"",""title_en"":""body length""},{""title"":""délka ocasu"",""value"":""50-54 cm"",""title_en"":""tail length""}]","Většinu času tráví na stromech, kde obratně běhá i skáče, přičemž dlouhým ocasem udržuje rovnováhu. Na zem se stupuje jen málokdy. Žije ve volně uspořádaných skupinách bez výrazné hierarchie, které obvykle čítají do dvanácti jedinců.","It spends most of its time in trees, where it runs and jumps with agility, using its long tail for balance. It rarely comes down to the ground. It lives in freely organised groups with no significant hierarchy, which usually comprise of up to twelve individuals.",,,"Samci lemurů běločelých se od šedohlavých samic na první pohled nápadně odlišují obličejem orámovaným bílou srstí, která je často delší a na tvářích tvoří licousy. Rozdíl je přitom patrný již na několikatýdenních mláďatech.","Male white-fronted lemurs differ from the grey-headed fe- males by the white bushy fur surrounding their otherwise dark face, which is often quite long on the cheeks. The difference in coloration between genders appears as early as a few weeks after birth.",22,"{""text"":""Prosíme, nekrmte zvířata, nesahejte na ně a neplašte je."",""images"":[""example.url""],""text_en"":""Please do not feed, touch or scare animals.""}",,"Dolní přední zuby lemurů – čtyři řezáky společně se dvěma špičáky – jsou výrazně nakloněné dopředu, protáhlé a těsně přimknuté jeden k druhému, čímž vytvářejí zvláštní strukturu známou jako zubní hřebínek. Lemuři si s jeho pomocí pročesávají srst a čistí ji od případných nečistot, aby byla stále v perfektním stavu.","The lower front teeth of lemurs – four incisors together with two canines – tilt forward, are elongated and tightly packed to one another, creating a special structure known as a toothcomb. Lemurs use it to comb their hair and clean it from any dirt, keeping it in perfect condition.",,,
74,Holub skalní,0,0,Rock pigeon,Columba livia,měkkozobí,Columbiformes,holubovití,Columbidae,,LC,,"skalnatá krajina, útesy s římsami, lidská sídla","rock faces, ledges in caves, cliffs, human settlements","tvrdá semena různých druhů rostlin, bezobratlí","grains, invertebrates",2 vejce;inkubace 16–19 dní,2 eggs;incubation 16–19 days,"[{""title"":""hmotnost"",""value"":""0,18-0,36 kg"",""title_en"":""weight""},{""title"":""délka"",""value"":""30-34 cm"",""title_en"":""length""},{""title"":""rozpětí křídel"",""value"":""60 cm"",""title_en"":""wingspan""}]","Je jediným předkem všech plemen domácích holubů. Ti mohou opětovně zdivočet, pak se z nich stanou tzv. věžáci, obývající města snad celého světa. Při výběru potravy ani hnízdišť není vybíravý, hnízdí až 4x ročně.","It is the only ancestor of all breeds of domestic pigeons. Feral pigeons, e.g. domestic pigeons that have become wild again, inhabit towns all over the world. They are not fussy when it comes to choosing their food or their nesting site; they nest up to 4 times a year.",,,,,,,,,,,,
2,Tučňák humboltův,50.1160822,14.4101697,Humboldt's penguin,Spheniscus humboldti,tučňáci,Sphenisciformes,tučňákovití,Spheniscidae,,VU,,"moře, skalnatá pobřeží","sea, rocky coasts","ryby, olihně a další mořští živočichové","fish, squids and other marine animals",2 vejce inkubace;40–42 dny,2 eggs incubation;40–42 days,"[{""title"":""hmotnost"",""value"":""3,5-6 kg"",""title_en"":""weight""},{""title"":""délka"",""value"":""65-70 cm"",""title_en"":""length""}]","Na rozdíl od jiných tučňáků žije daleko od polárního kruhu, dokonce i poblíž rovníku – ovšem pouze v oblastech, kde teče studený Humboldtův proud. Hnízdí v norách. Mláďata jsou svrchu šedavá, bez černo-bílé kresby na hlavě a lemu kolem břicha, typického pro dospělé.","Unlike other penguins, they live far away from the polar circle, even near the Equator – but only in areas where the cold Humboldt Current flows. They nest in burrows. The young are greyish on the outside, without the black and white pattern on their heads and edging around their abdomen that is typical of adults.","V minulosti byli tučňáci Humboldtovi intenzivně loveni pro maso, olej a kůži, lidé jim ničili hnízdiště těžbou guana, ve kterém si tučňáci rádi hloubí hnízdní nory, a ve velkém sbírali jejich vejce. Dnes je hlavní hrozbou globální změna klimatu a nadměrný rybolov, který ptáky připravuje o potravu a zabíjí je i přímo, když uváznou v rybářských sítích a utopí se.","In the past, these penguins were intensively hunted for their meat, oil and skin, people destroyed their nests whilst extracting guano, in which penguins liked to dig their nests, and gathered their eggs en masse. Today, the main threat is global climate change and overfishing, which deprives the birds of food and kills them directly when they get caught in fishing nets and drown.","Pražská zoo chová tučňáky Humboldtovy od začátku 60. let
20. století a za tu dobu zde vyrostlo přes 110 mláďat.",The Prague zoo has been breeding Humboldt’s Penguins since the 1960s. More than 110 young penguins have grown up here over that time.,9,,,,,,,
4,Lemur kata,50.1167375,14.4097183,Ring-tailed lemur,Lemur catta,primáti,Primates,lemurovití denní,Lemuridae,,EN,,"suché lesy a křoviny, galeriové lesy","gallery and dry deciduous forests, spiny bush","plody a jiné části rostlin, výjimečně i hmyz","fruits and other plant parts, rarely insects",březost 138–141 den;1 mládě,gestation 138–141 days;1 young,"[{""title"":""hmotnost"",""value"":""2,3 kg"",""title_en"":""weight""},{""title"":""délka těla"",""value"":""39-46 cm"",""title_en"":""body length""},{""title"":""délka ocasu"",""value"":""56-63 cm"",""title_en"":""tail length""}]","Je velmi společenský, žije v tlupách čítajících i přes 20 jedinců. Stejně jako ostatní lemuři umí zručně šplhat, značné množství času však tráví také na zemi. Čas to ho zde můžeme zastihnout, jak sedí s rozpaženými předními končetinami a nastavuje břicho slunci, aby se prohřál.","They are very social, living in groups of over 20 individuals. Like other lemurs, they are skilful climbers, however they also spend a considerable amount of time on the ground. They can often be found sunbathing, sitting with their forelegs spread and their bellies turned towards the sun to warm up.","Lemur kata sice patří k nejpočetnějším z lemurů, přesto i on je ohrožen vyhubením. Galeriové lesy i trnitý buš, v nichž nejraději žije, totiž na Madagaskaru čím dál víc ustupují dobytčím pastvinám a drobí se do řady malých, izolovaných ostrůvků, v nichž se větší populace lemurů neuživí. Někde jsou navíc lemuři loveni pro maso.","Although the ring-tailed lemur is one of the most numerous lemur species, it is also threatened with extinction. The Madagascan gallery forests and spiny thickets, where these primates prefer to live, are increasingly giving way to livestock pastures and are splitting up into a series of small, isolated islands that cannot support a larger population of lemurs. In addition, lemurs are sometimes hunted for meat.",Lemur kata je nejznámějším z lemurů a jako takový se stal ikonou madagaskarské ochrany přírody. Znázorněn je i v logu asociace madagaskarských národních parků.,"The ring-tailed lemur is the most recognised of lemurs and as such, it has become the symbol of wildlife conservation in Madagascar, being depicted in the logo of the Madagascar National Parks association.",22,,,"Při pohybu po zemi nosí lemuři kata svůj dlouhý pruhovaný ocas vysoko vztyčený, takže vykukuje nad podrost a umožňuje členům tlupy zůstat na dohled. Lemuří ocas tak plní podobnou roli jako vztyčený deštník turistického průvodce.","When the ring-tailed lemurs move around on the ground, their long tails are sticking high above the undergrowth, allowing troop members to stay in sight. Their tails have thus a similar role to a tourist guide’s umbrella.",,,
127,Orlosup bradatý,50.1171581,14.4031747,Bearded vulture,Gypaetus barbatus,dravci,Accipitriformes,jestřábovití,Accipitridae,,NT,,horské skalnaté oblasti,rocky mountainous regions,"kosti, mršiny","bones, carcasses",1–2 vejce;inkubace 53–56 dní,1–2 eggs;incubation 53–56 days,"[{""title"":""hmotnost"",""value"":""4,5–7 kg"",""title_en"":""weight""},{""title"":""délka"",""value"":""100–115 cm"",""title_en"":""length""}]","Je to skutečný potravní specialista: téměř 85 % jeho jídelníčku tvoří kosti a vazivo. Žije v trvalých párech. Přirozená barva peří na krku a spodině těla je bílá, v přírodě si ovšem ptáci barví peří železitou hlínou či vodou, takže bývají rezaví.","Bearded vultures, or lammergeiers, are food specialists. Almost 85 % of their diet consists of bones and ligaments. They live in permanent pairs. The natural colour of the feathers on the neck and the bottom of the body is white, however in the wild the birds intentionally colour the feathers with iron-rich mud or water, so they are often a deep rust colour.","Orlosupové sice žijí na mnoha místech světa, téměř všude jsou však vzácní a ubývá jich. Důvodem je devastace jejich životního prostředí, rušení při hnízdění a především kladení otrávených návnad a odstřel. V Evropě se orlosup řadí k nejvzácnějším dravcům a celková populace čítá jen několik set párů; díky důsledné ochraně a projektům vypouštění mladých jedinců z chovu do přírody naštěstí orlosupů na některých místech opět přibývá.","Bearded vultures live in many parts of the world; however they are scarce and declining in all areas. This is due to the devastation of their environment, disturbance during nesting and, above all, poisoning and shooting. In Europe, the bearded vulture is one of the rarest birds of prey and the total population numbers just a few hundred pairs; thanks to rigorous protection and projects aimed at releasing juveniles back into the wild, however, in some places their numbers are increasing again.","V Evropě probíhá už od 70. let 20. století ambiciózní a velmi úspěšný projekt návratu orlosupů do Alp, na němž se podílí i pražská zoo.
Náš pár orlosupů patří k nejstarším obyvatelům pražské zoo. Žijí zde od roku 1971 – přes 45 let!
Tato historická voliéra vznikla ve 30. letech 20. století. Žila v ní různá zvířata včetně pum, které v 80. letech vystřídali orlosupi. Krásná kovářská práce je podobná té na bývalé Jandově Velké voliéře dravců. V roce 2018 byla voliéra zrekonstruována s důrazem na zachování původního vzhledu.","In Europe, an ambitious and very successful project has been underway since the 1970s, helping to return bearded vultures to the Alps, in which Prague Zoo participates.
Our pair of bearded vultures ranks among the oldest inhabitants of Prague Zoo. They have been living here since the year 1971 – for more than 45 years!
Built in the 1930’s, this aviary was home to several animal species, even pumas. These were replaced by bearded vultures in the 80’s. Noticeable for its beautiful, decorative ironwork, the aviary was reconstructed in 2018 with an emphasis on preserving its original look.",,,,"Žaludeční šťávy orlosupů obsahují mnohem více kyselin, než je tomu u jiných dravců, takže ptáci dokážou účinně využít i bílkoviny obsažené v kostech. Velké kosti, které se nedají rozbít zobákem, vynášejí orlosupi do výšky 20–80 m a pouštějí na skálu, aby se roztříštily na menší kusy. Používají přitom stále stejná místa, tzv. kostnice.","The bearded vulture’s stomach juices contain far more acid than other birds of prey, this means the birds can effectively make use of the proteins contained in bones. Big bones or even entire skeletons that cannot be broken are carried in the beak to a height of 20–80 m and dropped onto a rock to shatter into smaller pieces. They use the same places for this, the so-called ossuary.",,"Afrika, Asie, Evropa","Africa, Asia, Europe"
16,Anakonda velká,50.1162208,14.403565,Green anaconda,Eunectes murinus,šupinatí,Squamata,hroznýšovití,Boidae,,,,tropické řeky a přilehlé lesy,tropical rivers and adjacent forests,obratlovci do velikosti mláděte tapíra,vertebrates up to the size of a tapir calf,„březost“ 6–7 měsíců;10–80 mláďat,“gestation“ 6–7 months;10–80 young,"[{""title"":""hmotnost"",""value"":""5-90 kg"",""title_en"":""weight""},{""title"":""délka"",""value"":""2-9 m"",""title_en"":""length""}]","Anakonda tráví většinu života ve vodě, kde číhá na kořist ponořená pod hladinou. Samice jsou výrazně delší a mohutnější než samci. Vajíčka se vyvíjejí v těle samice, která je klade až v okamžiku líhnutí – na pohled tedy rodí živá mláďata.","This snake spends most of the time underwater lurking for its prey. The females are considerably longer and more robust than the males. The eggs develop in the female’s body and she keeps them in her body until they hatch; therefore, she gives birth to live young.",,,,,8,,,,,,,
